"","samples","ds","alphalogodds"
"641",110,0.725,0.0819916296857244
"642",120,0.725,0.123515054720129
"643",130,0.725,0.162070406021587
"644",140,0.725,0.19805812743836
"645",150,0.725,0.231808907615373
"646",160,0.725,0.263588046409536
"647",170,0.725,0.293617045922394
"648",180,0.725,0.322081041233643
"649",190,0.725,0.349137351404508
"650",200,0.725,0.374920355912163
"651",210,0.725,0.399545892765804
"652",220,0.725,0.423117903503004
"653",230,0.725,0.445717183479888
"654",240,0.725,0.46742483590746
"655",250,0.725,0.488309415499351
"656",260,0.725,0.508431229666317
"657",270,0.725,0.527841843335879
"658",280,0.725,0.546594556540886
"659",290,0.725,0.564729996255018
"660",300,0.725,0.582289610611091
"661",10,0.75,-1.01269254544016
"662",20,0.75,-0.765592593054152
"663",30,0.75,-0.611197416699119
"664",40,0.75,-0.495522907350116
"665",50,0.75,-0.402061255457188
"666",60,0.75,-0.323261201939527
"667",70,0.75,-0.254955531779379
"668",80,0.75,-0.194572357083488
"669",90,0.75,-0.140410339270961
"670",100,0.75,-0.0912636844452209
"671",110,0.75,-0.0462590135274524
"672",120,0.75,-0.00473558849304735
"673",130,0.75,0.0338197628084103
"674",140,0.75,0.069807484225183
"675",150,0.75,0.103558264402196
"676",160,0.75,0.13533740319636
"677",170,0.75,0.165366402709217
"678",180,0.75,0.193830398020467
"679",190,0.75,0.220886708191331
"680",200,0.75,0.246669712698987
"681",210,0.75,0.271295249552627
"682",220,0.75,0.294867260289827
"683",230,0.75,0.317466540266711
"684",240,0.75,0.339174192694283
"685",250,0.75,0.360058772286175
"686",260,0.75,0.38018058645314
"687",270,0.75,0.399591200122702
"688",280,0.75,0.418343913327709
"689",290,0.75,0.436479353041842
"690",300,0.75,0.454038967397914
"691",10,0.775,-1.14603309274368
"692",20,0.775,-0.898933140357671
"693",30,0.775,-0.744537964002638
"694",40,0.775,-0.628863454653635
"695",50,0.775,-0.535401802760708
"696",60,0.775,-0.456601749243047
"697",70,0.775,-0.388296079082898
"698",80,0.775,-0.327912904387007
"699",90,0.775,-0.273750886574481
"700",100,0.775,-0.22460423174874
"701",110,0.775,-0.179599560830972
"702",120,0.775,-0.138076135796567
"703",130,0.775,-0.0995207844951089
"704",140,0.775,-0.0635330630783363
"705",150,0.775,-0.0297822829013232
